grade_code,job_family,role_title,job_level,band_minimum,band_midpoint,band_maximum,salary_currency,geo_scope,below_market_flag,effective_date,last_reviewed_date
GRD-090,DevOps / Platform / SRE,Site Reliability Engineer,L3,117000,135000,155000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-091,DevOps / Platform / SRE,Site Reliability Engineer,L4,150000,175000,202000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-092,DevOps / Platform / SRE,Site Reliability Engineer,L5,189000,222000,261000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-093,DevOps / Platform / SRE,Staff SRE,L5,189000,222000,261000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-094,DevOps / Platform / SRE,Staff SRE,L6,239000,286000,339000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-095,DevOps / Platform / SRE,Cloud Infrastructure Engineer,L2,91000,107000,122000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-096,DevOps / Platform / SRE,Cloud Infrastructure Engineer,L3,117000,135000,155000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-097,DevOps / Platform / SRE,Cloud Infrastructure Engineer,L4,150000,175000,202000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-098,IT / Systems Administration,IT Support Specialist,L1,48000,57000,66000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-099,IT / Systems Administration,IT Support Specialist,L2,64000,76000,88000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-100,IT / Systems Administration,Systems Administrator,L2,64000,76000,88000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-101,IT / Systems Administration,Systems Administrator,L3,81000,97000,112000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-102,IT / Systems Administration,Systems Administrator,L4,105000,125000,146000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-103,IT / Systems Administration,Network Administrator,L2,64000,76000,88000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-104,IT / Systems Administration,Network Administrator,L3,81000,97000,112000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-105,IT / Systems Administration,Network Administrator,L4,105000,125000,146000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-106,IT / Systems Administration,IT Analyst,L2,64000,76000,88000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-107,IT / Systems Administration,IT Analyst,L3,81000,97000,112000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-108,IT / Systems Administration,Senior Systems Administrator,L4,105000,125000,146000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-109,IT / Systems Administration,Senior Systems Administrator,L5,132000,158000,188000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-110,Sales & Account Management,Sales Development Rep,L1,59000,68000,78000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-111,Sales & Account Management,Sales Development Rep,L2,78000,91000,104000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-112,Sales & Account Management,Account Executive,L2,78000,91000,104000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-113,Sales & Account Management,Account Executive,L3,100000,116000,133000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-114,Sales & Account Management,Account Executive,L4,128000,150000,173000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-115,Sales & Account Management,Senior Account Executive,L4,128000,150000,173000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-116,Sales & Account Management,Senior Account Executive,L5,162000,190000,223000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-117,Sales & Account Management,Account Manager,L2,78000,91000,104000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-118,Sales & Account Management,Account Manager,L3,100000,116000,133000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-119,Sales & Account Management,Account Manager,L4,128000,150000,173000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-120,Sales & Account Management,Customer Success Manager,L2,78000,91000,104000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-121,Sales & Account Management,Customer Success Manager,L3,100000,116000,133000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-122,Sales & Account Management,Customer Success Manager,L4,128000,150000,173000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-123,Sales & Account Management,Sales Engineer,L3,100000,116000,133000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-124,Sales & Account Management,Sales Engineer,L4,128000,150000,173000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-125,Sales & Account Management,Sales Engineer,L5,162000,190000,223000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-126,Sales & Account Management,Regional Sales Director,L5,162000,190000,223000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-127,Sales & Account Management,Regional Sales Director,L6,204000,245000,290000,USD,National (pre-geo-differential),NO,2025-01-01,2025-01-01
GRD-128,Corporate,HR Specialist,L1,47000,56000,65000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-129,Corporate,HR Specialist,L2,63000,75000,87000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-130,Corporate,HR Specialist,L3,80000,96000,111000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-131,Corporate,HRBP,L3,80000,96000,111000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-132,Corporate,HRBP,L4,103000,124000,144000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-133,Corporate,HRBP,L5,130000,157000,186000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-134,Corporate,HR Manager,L4,103000,124000,144000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-135,Corporate,HR Manager,L5,130000,157000,186000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-136,Corporate,Financial Analyst,L1,47000,56000,65000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-137,Corporate,Financial Analyst,L2,63000,75000,87000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-138,Corporate,Financial Analyst,L3,80000,96000,111000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-139,Corporate,FP&A Analyst,L3,80000,96000,111000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-140,Corporate,FP&A Analyst,L4,103000,124000,144000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-141,Corporate,Accountant,L2,63000,75000,87000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-142,Corporate,Accountant,L3,80000,96000,111000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-143,Corporate,General Operations Manager,L4,103000,124000,144000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-144,Corporate,General Operations Manager,L5,130000,157000,186000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-145,Corporate,General Operations Manager,L6,165000,202000,241000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-146,Corporate,Paralegal,L2,63000,75000,87000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-147,Corporate,Paralegal,L3,80000,96000,111000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-148,Corporate,Corporate Counsel,L4,103000,124000,144000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-149,Corporate,Corporate Counsel,L5,130000,157000,186000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
GRD-150,Corporate,Corporate Counsel,L6,165000,202000,241000,USD,National (pre-geo-differential),YES,2025-01-01,2025-01-01
